Claim ID,Claimant Name,Incident Date,Incident Type,Description,Claim Amount
1,George Brown,18/10/2022,Theft,Occurred on 2022-10-18. Details are confidential.,16973.44
2,Dillon Johnson,26/03/2021,Personal Injury,Occurred on 2021-03-26. Details are confidential.,4911.59
3,Shannon Sosa,19/11/2021,Car Accident,Occurred on 2021-11-19. Details are confidential.,4728.27
4,Holly Lynch,02/04/2021,Theft,Occurred on 2021-04-02. Details are confidential.,7210.47
5,Donald Rogers,16/03/2022,Home Burglary,Occurred on 2022-03-16. Details are confidential.,17461.23
6,Emily Montgomery MD,25/10/2023,Property Damage,Occurred on 2023-10-25. Details are confidential.,12175.13
7,Christine Rivera,14/07/2021,Property Damage,Occurred on 2021-07-14. Details are confidential.,10935.98
8,Sean Johnson,13/03/2023,Personal Injury,Occurred on 2023-03-13. Details are confidential.,6272.11
9,Joyce Wilson,31/08/2023,Home Burglary,Occurred on 2023-08-31. Details are confidential.,1530.81
10,Henry Phillips,07/10/2022,Home Burglary,Occurred on 2022-10-07. Details are confidential.,14474.65
11,Francisco Moyer,07/01/2021,Car Accident,Occurred on 2021-01-07. Details are confidential.,7514.88
12,Katherine Rogers,25/05/2022,Car Accident,Occurred on 2022-05-25. Details are confidential.,5060.95
13,Shawn Ferguson,20/12/2022,Home Burglary,Occurred on 2022-12-20. Details are confidential.,2580.08
14,Thomas Mays,22/12/2023,Car Accident,Occurred on 2023-12-22. Details are confidential.,12746.51
15,Chelsea Young,05/12/2021,Property Damage,Occurred on 2021-12-05. Details are confidential.,5805.41
16,Kara Rivera,30/05/2022,Home Burglary,Occurred on 2022-05-30. Details are confidential.,6681.35
17,Brittany Shannon,31/12/2021,Theft,Occurred on 2021-12-31. Details are confidential.,16170.19
18,Erin Medina,17/10/2021,Home Burglary,Occurred on 2021-10-17. Details are confidential.,14248.91
19,Roger Shepherd,10/10/2021,Car Accident,Occurred on 2021-10-10. Details are confidential.,16198.15
20,Beverly Brewer,02/03/2022,Home Burglary,Occurred on 2022-03-02. Details are confidential.,8563.38
21,Rachel Swanson,02/11/2022,Theft,Occurred on 2022-11-02. Details are confidential.,7239.14
22,Sharon Cameron,01/10/2022,Theft,Occurred on 2022-10-01. Details are confidential.,15375.12
23,Manuel Griffith,09/07/2021,Home Burglary,Occurred on 2021-07-09. Details are confidential.,3490.27
24,Bradley Schneider,28/02/2023,Property Damage,Occurred on 2023-02-28. Details are confidential.,4995.63
25,Brittany Barron,13/02/2022,Theft,Occurred on 2022-02-13. Details are confidential.,8302.47
26,Valerie Wood,16/03/2023,Theft,Occurred on 2023-03-16. Details are confidential.,17440.17
27,Jesse Thompson,26/04/2021,Car Accident,Occurred on 2021-04-26. Details are confidential.,17744.69
28,Tracey Glover,26/07/2022,Theft,Occurred on 2022-07-26. Details are confidential.,12923.64
29,Brenda Velasquez,06/01/2023,Car Accident,Occurred on 2023-01-06. Details are confidential.,3060.41
30,Philip Carpenter,28/10/2022,Personal Injury,Occurred on 2022-10-28. Details are confidential.,7224.7
31,Lisa Wallace,26/12/2021,Car Accident,Occurred on 2021-12-26. Details are confidential.,13721.59
32,Rebecca Barber,20/03/2021,Car Accident,Occurred on 2021-03-20. Details are confidential.,5076.49
33,Sue Jenkins,07/10/2022,Personal Injury,Occurred on 2022-10-07. Details are confidential.,14083.1
34,Amy Weaver,25/10/2022,Personal Injury,Occurred on 2022-10-25. Details are confidential.,10778.06
35,Michael Young,04/05/2021,Theft,Occurred on 2021-05-04. Details are confidential.,1406.23
36,Kyle Smith,01/01/2023,Theft,Occurred on 2023-01-01. Details are confidential.,15893.84
37,Andrea Clark MD,20/06/2022,Property Damage,Occurred on 2022-06-20. Details are confidential.,11683.42
38,Linda Powell,03/10/2021,Property Damage,Occurred on 2021-10-03. Details are confidential.,13067.66
39,Christine Flowers,23/12/2021,Home Burglary,Occurred on 2021-12-23. Details are confidential.,13323.13
40,Lisa Mendoza,08/05/2021,Theft,Occurred on 2021-05-08. Details are confidential.,8219.91
41,Neil Gonzales,19/08/2023,Home Burglary,Occurred on 2023-08-19. Details are confidential.,18505.81
42,Elizabeth Garcia,20/04/2023,Theft,Occurred on 2023-04-20. Details are confidential.,12088.45
43,Randy Tran,28/04/2022,Property Damage,Occurred on 2022-04-28. Details are confidential.,12024.26
44,Elizabeth Mcneil,18/04/2022,Home Burglary,Occurred on 2022-04-18. Details are confidential.,19180.63
45,Krystal Wilson,03/09/2022,Theft,Occurred on 2022-09-03. Details are confidential.,16123.61
46,Alexandria Saunders,11/02/2022,Theft,Occurred on 2022-02-11. Details are confidential.,2549.8
47,Oscar Jones,28/10/2023,Property Damage,Occurred on 2023-10-28. Details are confidential.,9690.25
48,Dr. Olivia Carter,07/11/2022,Car Accident,Occurred on 2022-11-07. Details are confidential.,3261.9
49,Ruth Hamilton,10/03/2021,Personal Injury,Occurred on 2021-03-10. Details are confidential.,16003.68
50,Kathy Willis,13/02/2021,Theft,Occurred on 2021-02-13. Details are confidential.,18283.72
